Freq.	V(vout2)/(-V(verr2))
1.07151930523760e+05	(4.74965850207239e+01dB,-8.54362728344158e+01°)
1.09647819614318e+05	(4.72978420175865e+01dB,-8.55413586305344e+01°)
1.12201845430196e+05	(4.70990427811871e+01dB,-8.56441193360158e+01°)
1.14815362149688e+05	(4.69001898127807e+01dB,-8.57446068552722e+01°)
1.17489755493952e+05	(4.67012855036373e+01dB,-8.58428720573106e+01°)
1.20226443461741e+05	(4.65023321397698e+01dB,-8.59389647918948e+01°)
1.23026877081237e+05	(4.63033319064764e+01dB,-8.60329339061164e+01°)
1.25892541179416e+05	(4.61042868926750e+01dB,-8.61248272599602e+01°)
1.28824955169313e+05	(4.59051990950656e+01dB,-8.62146917421508e+01°)
1.31825673855640e+05	(4.57060704221389e+01dB,-8.63025732876977e+01°)
1.34896288259164e+05	(4.55069026979916e+01dB,-8.63885168933253e+01°)
1.38038426460288e+05	(4.53076976659905e+01dB,-8.64725666334010e+01°)
1.41253754462274e+05	(4.51084569923037e+01dB,-8.65547656782291e+01°)
1.44543977074592e+05	(4.49091822692507e+01dB,-8.66351563085800e+01°)
1.47910838816820e+05	(4.47098750185284e+01dB,-8.67137799325205e+01°)
1.51356124843620e+05	(4.45105366943069e+01dB,-8.67906771021654e+01°)
1.54881661891247e+05	(4.43111686861780e+01dB,-8.68658875293893e+01°)
1.58489319246110e+05	(4.41117723219899e+01dB,-8.69394501021440e+01°)
1.62181009735892e+05	(4.39123488705571e+01dB,-8.70114029003227e+01°)
1.65958690743755e+05	(4.37128995442502e+01dB,-8.70817832113307e+01°)
1.69824365246173e+05	(4.35134255014842e+01dB,-8.71506275463753e+01°)
1.73780082874936e+05	(4.33139278490936e+01dB,-8.72179716558032e+01°)
1.77827941003891e+05	(4.31144076446030e+01dB,-8.72838505444524e+01°)
1.81970085860997e+05	(4.29148658984026e+01dB,-8.73482984864513e+01°)
1.86208713666285e+05	(4.27153035758371e+01dB,-8.74113490416696e+01°)
1.90546071796323e+05	(4.25157215991858e+01dB,-8.74730350686921e+01°)
1.94984459975803e+05	(4.23161208495788e+01dB,-8.75333887414686e+01°)
1.99526231496887e+05	(4.21165021688080e+01dB,-8.75924415622550e+01°)
2.04173794466951e+05	(4.19168663610817e+01dB,-8.76502243773768e+01°)
2.08929613085402e+05	(4.17172141946816e+01dB,-8.77067673901482e+01°)
2.13796208950222e+05	(4.15175464035620e+01dB,-8.77621001756015e+01°)
2.18776162394954e+05	(4.13178636888732e+01dB,-8.78162516940485e+01°)
2.23872113856832e+05	(4.11181667204174e+01dB,-8.78692503044831e+01°)
2.29086765276776e+05	(4.09184561380446e+01dB,-8.79211237782887e+01°)
2.34422881531990e+05	(4.07187325529849e+01dB,-8.79718993121759e+01°)
2.39883291901947e+05	(4.05189965491207e+01dB,-8.80216035410322e+01°)
2.45470891568501e+05	(4.03192486842063e+01dB,-8.80702625509229e+01°)
2.51188643150956e+05	(4.01194894910328e+01dB,-8.81179018917475e+01°)
2.57039578276884e+05	(3.99197194785388e+01dB,-8.81645465890888e+01°)
2.63026799189536e+05	(3.97199391328754e+01dB,-8.82102211569857e+01°)
2.69153480392690e+05	(3.95201489184244e+01dB,-8.82549496093643e+01°)
2.75422870333815e+05	(3.93203492787685e+01dB,-8.82987554722189e+01°)
2.81838293126443e+05	(3.91205406376225e+01dB,-8.83416617952013e+01°)
2.88403150312658e+05	(3.89207233997190e+01dB,-8.83836911624765e+01°)
2.95120922666636e+05	(3.87208979516574e+01dB,-8.84248657044753e+01°)
3.01995172040199e+05	(3.85210646627170e+01dB,-8.84652071086213e+01°)
3.09029543251357e+05	(3.83212238856299e+01dB,-8.85047366302366e+01°)
3.16227766016835e+05	(3.81213759573213e+01dB,-8.85434751030828e+01°)
3.23593656929626e+05	(3.79215211996197e+01dB,-8.85814429499561e+01°)
3.31131121482588e+05	(3.77216599199323e+01dB,-8.86186601929120e+01°)
3.38844156139200e+05	(3.75217924118910e+01dB,-8.86551464632245e+01°)
3.46736850452529e+05	(3.73219189559677e+01dB,-8.86909210114303e+01°)
3.54813389233573e+05	(3.71220398200709e+01dB,-8.87260027171022e+01°)
3.63078054770098e+05	(3.69221552601024e+01dB,-8.87604100985471e+01°)
3.71535229097170e+05	(3.67222655205015e+01dB,-8.87941613217504e+01°)
3.80189396320558e+05	(3.65223708347574e+01dB,-8.88272742103391e+01°)
3.89045144994277e+05	(3.63224714259003e+01dB,-8.88597662540874e+01°)
3.98107170553494e+05	(3.61225675069742e+01dB,-8.88916546182500e+01°)
4.07380277804109e+05	(3.59226592814840e+01dB,-8.89229561522432e+01°)
4.16869383470332e+05	(3.57227469438251e+01dB,-8.89536873981346e+01°)
4.26579518801589e+05	(3.55228306796931e+01dB,-8.89838645993825e+01°)
4.36515832240162e+05	(3.53229106664789e+01dB,-8.90135037093135e+01°)
4.46683592150959e+05	(3.51229870736372e+01dB,-8.90426203989443e+01°)
4.57088189614871e+05	(3.49230600630470e+01dB,-8.90712300654177e+01°)
4.67735141287194e+05	(3.47231297893559e+01dB,-8.90993478398098e+01°)
4.78630092322634e+05	(3.45231964003034e+01dB,-8.91269885951456e+01°)
4.89778819368442e+05	(3.43232600370335e+01dB,-8.91541669539517e+01°)
5.01187233627268e+05	(3.41233208343936e+01dB,-8.91808972957689e+01°)
5.12861383991361e+05	(3.39233789212180e+01dB,-8.92071937649158e+01°)
5.24807460249768e+05	(3.37234344206030e+01dB,-8.92330702777357e+01°)
5.37031796370248e+05	(3.35234874501636e+01dB,-8.92585405296553e+01°)
5.49540873857620e+05	(3.33235381222837e+01dB,-8.92836180026297e+01°)
5.62341325190344e+05	(3.31235865443544e+01dB,-8.93083159719080e+01°)
5.75439937337152e+05	(3.29236328189998e+01dB,-8.93326475132193e+01°)
5.88843655355584e+05	(3.27236770442945e+01dB,-8.93566255094181e+01°)
6.02559586074352e+05	(3.25237193139703e+01dB,-8.93802626573506e+01°)
6.16595001861477e+05	(3.23237597176148e+01dB,-8.94035714744645e+01°)
6.30957344480188e+05	(3.21237983408618e+01dB,-8.94265643053476e+01°)
6.45654229034650e+05	(3.19238352655707e+01dB,-8.94492533282310e+01°)
6.60693448007590e+05	(3.17238705699999e+01dB,-8.94716505613703e+01°)
6.76082975391976e+05	(3.15239043289743e+01dB,-8.94937678694725e+01°)
6.91830970918930e+05	(3.13239366140400e+01dB,-8.95156169696517e+01°)
7.07945784384132e+05	(3.11239674936190e+01dB,-8.95372094380167e+01°)
7.24435960074984e+05	(3.09239970331505e+01dB,-8.95585567153484e+01°)
7.41310241300911e+05	(3.07240252952335e+01dB,-8.95796701133689e+01°)
7.58577575029177e+05	(3.05240523397539e+01dB,-8.96005608206911e+01°)
7.76247116628685e+05	(3.03240782240148e+01dB,-8.96212399086245e+01°)
7.94328234724274e+05	(3.01241030028565e+01dB,-8.96417183371042e+01°)
8.12830516164092e+05	(2.99241267287725e+01dB,-8.96620069604708e+01°)
8.31763771102663e+05	(2.97241494520183e+01dB,-8.96821165331583e+01°)
8.51138038202369e+05	(2.95241712207213e+01dB,-8.97020577154063e+01°)
8.70963589956073e+05	(2.93241920809781e+01dB,-8.97218410789886e+01°)
8.91250938133737e+05	(2.91242120769544e+01dB,-8.97414771126483e+01°)
9.12010839355901e+05	(2.89242312509778e+01dB,-8.97609762277699e+01°)
9.33254300796982e+05	(2.87242496436250e+01dB,-8.97803487638869e+01°)
9.54992586021427e+05	(2.85242672938084e+01dB,-8.97996049941154e+01°)
9.77237220955802e+05	(2.83242842388585e+01dB,-8.98187551307088e+01°)
9.99999999999991e+05	(2.81243005146017e+01dB,-8.98378093303315e+01°)
