Freq.	V(vout)/(-V(vn))
2.63026799189542e+04	(4.36531554719251e+01dB,-9.18962586501026e+01°)
2.75422870333821e+04	(4.32527881070000e+01dB,-9.19972414640018e+01°)
2.88403150312665e+04	(4.28523849915861e+01dB,-9.21024505569049e+01°)
3.01995172040207e+04	(4.24519427142226e+01dB,-9.22121075905038e+01°)
3.16227766016843e+04	(4.20514575331427e+01dB,-9.23264434393810e+01°)
3.31131121482597e+04	(4.16509253449405e+01dB,-9.24456986480365e+01°)
3.46736850452537e+04	(4.12503416502578e+01dB,-9.25701239035022e+01°)
3.63078054770107e+04	(4.08497015162104e+01dB,-9.26999805240442e+01°)
3.80189396320568e+04	(4.04489995352633e+01dB,-9.28355409640269e+01°)
3.98107170553504e+04	(4.00482297802246e+01dB,-9.29770893351569e+01°)
4.16869383470342e+04	(3.96473857550108e+01dB,-9.31249219441686e+01°)
4.36515832240173e+04	(3.92464603407991e+01dB,-9.32793478468227e+01°)
4.57088189614883e+04	(3.88454457371542e+01dB,-9.34406894180481e+01°)
4.78630092322647e+04	(3.84443333976827e+01dB,-9.36092829378604e+01°)
5.01187233627281e+04	(3.80431139597284e+01dB,-9.37854791924705e+01°)
5.24807460249782e+04	(3.76417771675918e+01dB,-9.39696440897892e+01°)
5.49540873857634e+04	(3.72403117887068e+01dB,-9.41621592883058e+01°)
5.75439937337167e+04	(3.68387055221739e+01dB,-9.43634228379503e+01°)
6.02559586074368e+04	(3.64369448990005e+01dB,-9.45738498312508e+01°)
6.30957344480204e+04	(3.60350151733576e+01dB,-9.47938730626576e+01°)
6.60693448007608e+04	(3.56329002041125e+01dB,-9.50239436934714e+01°)
6.91830970918949e+04	(3.52305823258533e+01dB,-9.52645319192274e+01°)
7.24435960075003e+04	(3.48280422085749e+01dB,-9.55161276358339e+01°)
7.58577575029197e+04	(3.44252587051495e+01dB,-9.57792411000082e+01°)
7.94328234724296e+04	(3.40222086856636e+01dB,-9.60544035787894e+01°)
8.31763771102686e+04	(3.36188668576640e+01dB,-9.63421679820001e+01°)
8.70963589956096e+04	(3.32152055713221e+01dB,-9.66431094704716e+01°)
9.12010839355926e+04	(3.28111946084998e+01dB,-9.69578260317667e+01°)
9.54992586021453e+04	(3.24068009546846e+01dB,-9.72869390137475e+01°)
1.00000000000002e+05	(3.20019885527607e+01dB,-9.76310936049602e+01°)
1.04712854805092e+05	(3.15967180375955e+01dB,-9.79909592491501e+01°)
1.09647819614321e+05	(3.11909464504588e+01dB,-9.83672299794538e+01°)
1.14815362149690e+05	(3.07846269323559e+01dB,-9.87606246558076e+01°)
1.20226443461744e+05	(3.03777083954490e+01dB,-9.91718870869666e+01°)
1.25892541179419e+05	(2.99701351718802e+01dB,-9.96017860161408e+01°)
1.31825673855643e+05	(2.95618466394910e+01dB,-1.00051114946715e+02°)
1.38038426460291e+05	(2.91527768241745e+01dB,-1.00520691781732e+02°)
1.44543977074595e+05	(2.87428539789067e+01dB,-1.01011358247938e+02°)
1.51356124843624e+05	(2.83320001398852e+01dB,-1.01523979072122e+02°)
1.58489319246114e+05	(2.79201306606898e+01dB,-1.02059440874287e+02°)
1.65958690743759e+05	(2.75071537259545e+01dB,-1.02618650739034e+02°)
1.73780082874941e+05	(2.70929698467475e+01dB,-1.03202534423354e+02°)
1.81970085861002e+05	(2.66774713406906e+01dB,-1.03812034155991e+02°)
1.90546071796328e+05	(2.62605418008253e+01dB,-1.04448105980816e+02°)
1.99526231496892e+05	(2.58420555583828e+01dB,-1.05111716594323e+02°)
2.08929613085408e+05	(2.54218771459183e+01dB,-1.05803839625726e+02°)
2.18776162394960e+05	(2.49998607687630e+01dB,-1.06525451307309e+02°)
2.29086765276782e+05	(2.45758497944122e+01dB,-1.07277525483148e+02°)
2.39883291901954e+05	(2.41496762713069e+01dB,-1.08061027906163e+02°)
2.51188643150963e+05	(2.37211604904634e+01dB,-1.08876909777270e+02°)
2.63026799189543e+05	(2.32901106055304e+01dB,-1.09726100486410e+02°)
2.75422870333822e+05	(2.28563223290618e+01dB,-1.10609499523995e+02°)
2.88403150312666e+05	(2.24195787250277e+01dB,-1.11527967543112e+02°)
3.01995172040208e+05	(2.19796501197558e+01dB,-1.12482316568242e+02°)
