Freq.	V(vout)/(-V(vn))
1.90546071796326e+02	(8.69335497983835e+01dB,-8.07409782863616e+01°)
1.99526231496890e+02	(8.65434841725911e+01dB,-8.11522440066736e+01°)
2.08929613085406e+02	(8.61525642818901e+01dB,-8.15459209209638e+01°)
2.18776162394957e+02	(8.57608620208138e+01dB,-8.19226958797680e+01°)
2.29086765276779e+02	(8.53684434918315e+01dB,-8.22832382259574e+01°)
2.39883291901951e+02	(8.49753694290074e+01dB,-8.26281990018178e+01°)
2.51188643150960e+02	(8.45816955979642e+01dB,-8.29582103732450e+01°)
2.63026799189540e+02	(8.41874731721527e+01dB,-8.32738852425548e+01°)
2.75422870333819e+02	(8.37927490856958e+01dB,-8.35758170218587e+01°)
2.88403150312663e+02	(8.33975663634147e+01dB,-8.38645795474809e+01°)
3.01995172040204e+02	(8.30019644287237e+01dB,-8.41407271128259e+01°)
3.16227766016841e+02	(8.26059793902647e+01dB,-8.44047946024761e+01°)
3.31131121482594e+02	(8.22096443082231e+01dB,-8.46572977111305e+01°)
3.46736850452535e+02	(8.18129894413350e+01dB,-8.48987332334782e+01°)
3.63078054770105e+02	(8.14160424756282e+01dB,-8.51295794129261e+01°)
3.80189396320565e+02	(8.10188287359272e+01dB,-8.53502963367358e+01°)
3.98107170553501e+02	(8.06213713811929e+01dB,-8.55613263698295e+01°)
4.16869383470339e+02	(8.02236915847127e+01dB,-8.57630946181387e+01°)
4.36515832240170e+02	(7.98258087001495e+01dB,-8.59560094151090e+01°)
4.57088189614879e+02	(7.94277404143915e+01dB,-8.61404628228208e+01°)
4.78630092322643e+02	(7.90295028881630e+01dB,-8.63168311457027e+01°)
5.01187233627277e+02	(7.86311108852639e+01dB,-8.64854754510160e+01°)
5.24807460249778e+02	(7.82325778912538e+01dB,-8.66467420903270e+01°)
5.49540873857630e+02	(7.78339162224142e+01dB,-8.68009632230180e+01°)
5.75439937337163e+02	(7.74351371256730e+01dB,-8.69484573331907e+01°)
6.02559586074364e+02	(7.70362508702545e+01dB,-8.70895297448835e+01°)
6.30957344480200e+02	(7.66372668316444e+01dB,-8.72244731271393e+01°)
6.60693448007603e+02	(7.62381935685128e+01dB,-8.73535679912448e+01°)
6.91830970918944e+02	(7.58390388931466e+01dB,-8.74770831779332e+01°)
7.24435960074998e+02	(7.54398099359191e+01dB,-8.75952763335507e+01°)
7.58577575029192e+02	(7.50405132042779e+01dB,-8.77083943743687e+01°)
7.94328234724290e+02	(7.46411546367033e+01dB,-8.78166739386682e+01°)
8.31763771102680e+02	(7.42417396520516e+01dB,-8.79203418261452e+01°)
8.70963589956090e+02	(7.38422731946662e+01dB,-8.80196154244326e+01°)
9.12010839355920e+02	(7.34427597756119e+01dB,-8.81147031231014e+01°)
9.54992586021446e+02	(7.30432035103482e+01dB,-8.82058047133705e+01°)
1.00000000000001e+03	(7.26436081531578e+01dB,-8.82931117767151e+01°)
1.04712854805091e+03	(7.22439771285863e+01dB,-8.83768080592344e+01°)
1.09647819614320e+03	(7.18443135601594e+01dB,-8.84570698339778e+01°)
1.14815362149690e+03	(7.14446202966020e+01dB,-8.85340662510495e+01°)
1.20226443461743e+03	(7.10448999357750e+01dB,-8.86079596753668e+01°)
1.25892541179418e+03	(7.06451548465250e+01dB,-8.86789060131429e+01°)
1.31825673855642e+03	(7.02453871886211e+01dB,-8.87470550263830e+01°)
1.38038426460290e+03	(6.98455989309491e+01dB,-8.88125506371406e+01°)
